"NETFLIXID","COUNTRY","DOWNLOAD","IMAGE","IMDBID","LARGEIMAGE","RATING","RELEASED","RUNTIME","SYNOPSIS","TITLE","TYPE","UNOGSDATE"
"80022607","18","0","https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa5QF3z7R6zNR1GpemOTAAXimE51UECHRDP1BMe7gU9PiVK_ASb1uqMBcamQRwhAfvcQyiLTh-9aVFSBTrODrlzXFw.jpg?r=396","tt3416532","","7.5","2016","1h48m","Overwhelmed by his mother&rsquo;s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.","A Monster Calls","movie","2019-08-02"
"81150918","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb2Oa_PT1DUUXTQQRi8MidooVfit4N83ksMERUyq-u4A7iTwyI9dJJnoXqwwySf99dD9hovXree830Vz3ut_XMdpAA.jpg?r=e0b","","","","2019","1h24m","Best friends L&eacute;a and Camille explore the notion of healing while traveling to Latin America in search of a cure for a terminal disease.","L&eacute;a and I","movie","2019-08-02"
"80238910","18","0","https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSi1UXInRjoNTm6fqNl8trmi4Qh5etFw8WILE9STsAn4KiiC15WhNTH3vFv8_7Rrn-jzkDKCEkP94-wT3zccsG_M2Q.jpg?r=a8e","tt7784604","https://occ-0-1091-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaqr6e4pkcDcLfVluJ4LySI_REte12FXsPcAwT9PNxg06tVukjtrXjXgRfCQUWL9wX2zA0tiX7qfrH4HJ8RYuP-wR_2n.jpg?r=395","7.3","2018","2h7m","After the death of her mother, artist Annie and her family uncover their terrifying legacy and grapple with malevolent forces beyond their control.","Hereditary","movie","2019-08-03"
"80147402","18","0","https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRx6lZK8-yl6-Eu92vr11F0BFxFqla8NXR9Zbrn2JBRkc8yI1ORIyHRY8uUSexITG_Q4wnIRscUSHAKi0zFWoM9fUA.jpg?r=3e2","tt2720826","","5.5","2016","1h35m","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Birth of the Dragon","movie","2019-08-03"
"80211623","18","0","https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVHIpZiSjP7ajLp1qHs-LOSUHXtri5zmZe_wF5hJo-UqbOR-VSVI8CvVsJjTZupcWjGhMW5SSCzWNCWf200baPKzL7tfexWU0f5g-QrrnZU4G-MrCSroG4-1LGM.jpg?r=ab7","tt4180560","","6","2019","1h40m","Feeling forgotten on Mother&#39;s Day, three best friends leave the suburbs and drive to New York City to surprise their adult sons.","Otherhood","movie","2019-08-03"
"80232871","18","0","https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcElI6cHH_FuySWHz6TtKv6dtVwMiPSyU-2IxqVO51847CiMiO8Lb9VVWEHe6hgcu_fhVOEMR2u2kZ6aaDuSvbTHNw.jpg?r=823","tt4154916","https://occ-0-1091-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTlzvSB2_5HZ0v_VXGRpYePZzg3qvhOGdVSPosm6GtlfiZ2yDtyzS4vlacJ83pPM9VGuuKonSYBTScWBcZqi4MO6RV2d.jpg?r=880","5.5","2018","1h47m","After losing his family in a tragic accident, a neuroscientist tries to bring them back in a cloning experiment that attracts controversy and chaos.","Replicas","movie","2019-08-03"
"80199381","18","0","https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ0g1ajniWYYKhpjBx2ZOleTQk57CtNQf0VMqY81JFCXwLY-NZUPBsoqTV4-0P1uwTdYnnPKshKw-FcO2HgcCXzF5w.jpg?r=b8a","tt5478478","https://occ-0-1091-1167.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb5m-wZVIDtFjXa69wPK9Mcg_8f7MTpG0ll1txWBhLhZ-6WH2FDgl3-T-j4Z3zHtGlM5nV6-BJLxh7MoejyiuV3uC-mj.jpg?r=196","7.2","2017","2h13m","After a long career battling the Cheyenne, a U.S. Army captain is ordered to safely escort the tribe&#39;s most influential chief to his Montana homeland.","Hostiles","movie","2019-08-03"
"80238908","18","0","https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYvUBjKnXnL76gaF1dLq9PWyEV2aeTSx4jRwj40zWvSCe1y7uQFVsb_-sInreYy16wauLVhXyHx0-af6ASCRIJfWPw.jpg?r=a00","tt5774450","","6.7","2018","1h45m","Convinced his neighbor is a serial killer, a suburban teen recruits three pals to help confirm his hunch, but their investigation soon gets dangerous.","Summer of 84","movie","2019-08-03"
"81041374","18","0","https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWZWO2GuErPDZNDxxfuL5eqFaIvmwCAit6ljQIOpZyVJHxRGwWifO5MARkSkQiWBabOF2j9bq3yt12CIjxCrF9B2kA.jpg?r=0cb","","","","2017","1h41m","Facing financial ruin, an amateur sailor falsely competes in the 1968 Golden Globe Race and opts for a solo voyage that sends him on a downward spiral.","The Mercy","movie","2019-08-03"
"80245353","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYcKLHfkbEUEADfKM00FCyvuQX9uivZOuZwwnOF7nXUDcXtf1Vtp-GR2slSdiXpMY6WKuU842BvaX1xVU57CnR3AbwO2B4nhDsG079_9Wjfos1U_xyqKY-J0jdQ.jpg?r=af5","","","","2019","","Follow the Chinle High basketball team in Arizona&#39;s Navajo Nation on a quest to win a state championship and bring pride to their isolated community.","Basketball or Nothing","series","2019-08-03"
